한글명,IATA코드,국가명_영문,국가명_한글,도시명_영문
서 씨우사구 람굴람 국제공항,MRU,Mauritius,모리셔스,Plaine Magnien
나도르 국제공항,NDR,Morocco,모로코,Nador
알바레즈 국제공항 ,ACA,Mexico,멕시코,Acapulco
릭 지저스 테란 페러두 국제공항,AGU,Mexico,멕시코,Aguascalientes
캄페체 국제공항,CPE,Mexico,멕시코,Campeche
캔쿤 국제공항,CUN,Mexico,멕시코,Cancun
체투말 국제공항,CTM,Mexico,멕시코,Chetumal
퀴다드델카르멘 국제공항,CME,Mexico,멕시코,Ciudad Del Carmen
시우다드 후아레스 국제공항 ,CJS,Mexico,멕시코,Ciudad Juarez
치우다드오브레곤 국제공항 ,CEN,Mexico,멕시코,Ciudad Obregon
코즈멜 국제공항,CZM,Mexico,멕시코,Cozumel
버하이 데 후아츌코 국제공항,HUX,Mexico,멕시코,Huatulco
페데랄 델 발 델 푸어트 국제공항,LMM,Mexico,멕시코,Los Mochis
플라야 데 오로 국제공항,ZLO,Mexico,멕시코,Manzanillo
제너랄 세르반도 캐널즈 국제공항,MAM,Mexico,멕시코,Matamoros
제너랄 로볼포 산체트 타보다 국제공항,MXL,Mexico,멕시코,Mexicali
베니토 후아레즈 국제공항 ,MEX,Mexico,멕시코,Mexico City
제너널 프란치스코 J. 뮤지카 국제공항,MLM,Mexico,멕시코,Morelia
노갈레스 국제공항,NOG,Mexico,멕시코,Nogales
케첼코울 국제공항,NLD,Mexico,멕시코,Nuevo Laredo
Palenque 국제공항,PQM,Mexico,멕시코,Palenque
푸에르토에스칸디도 국제공항,PXM,Mexico,멕시코,Puerto Escondido
폰시아노 아리아가 국제공항,SLP,Mexico,멕시코,San Luis Potosi
타파출라 국제공항,TAP,Mexico,멕시코,Tapachula
티후아나 국제공항 ,TIJ,Mexico,멕시코,Tijuana
프란시스 사라비아 국제공항 ,TRC,Mexico,멕시코,Torreon
앙헬알비노코르조 국제공항,TGZ,Mexico,멕시코,Tuxtla Gutierrez
지오아타네호 국제공항,ZIH,Mexico,멕시코,Zihuatanejo
술탄 이스마일 국제공항,JHB,Malaysia,말레이시아,Johor Bahru
코타키나발루 국제공항,BKI,Malaysia,말레이시아,Kota Kinabalu
콸라룸푸르 국제공항,KUL,Malaysia,말레이시아,Kuala Lumpur
쿠칭 국제공항,KCH,Malaysia,말레이시아,Kuching
페낭 국제공항,PEN,Malaysia,말레이시아,Penang
타와무 국제공항,TWU,Malaysia,말레이시아,Tawau
릴롱궤 국제공항,LLW,Malawi,말라위,Lilongwe
마카오 국제공항,MFM,Macao,마카오,Macau
난창 국제공항,KHN,Macao,마카오,Nanchang
난징 루쿠 국제공항,NKG,Macao,마카오,Nanjing
난닝 웍슈 국제공항,NNG,Macao,마카오,Nanning
닝보 리쉬 국제공항,NGB,Macao,마카오,Ningbo
칭다오 리아우팅 국제공항,TAO,Macao,마카오,Qing Dao
산야 피닉스 국제공항 ,SYX,Macao,마카오,Sanya
선양 타오시안 국제공항,SHE,Macao,마카오,Shenyang City
쉔젠 바오안 국제공항,SZX,Macao,마카오,Shenzhen
톈진 빈하이 국제공항,TSN,Macao,마카오,Tianjin
우루무치 디와푸 국제공항,URC,Macao,마카오,Urumchi
완주우 차오 국제공항,WXN,Macao,마카오,Wanxian
원저우 국제공항,WNZ,Macao,마카오,Wenzhou
샤먼 가오츠 국제공항,XMN,Macao,마카오,Xiamen
옌청 남양 국제 공항,YNZ,Macao,마카오,Yancheng
정저우 신젱 국제공항,CGO,Macao,마카오,Zhengzhou
주하이 국제공항,ZUH,Macao,마카오,Zhuhai City
아바토 국제공항,TNR,Madagascar,마다가스카르,Antananarivo
카우나스 국제공항,KUN,Lithuania,리투아니아,Kaunas
팔랑가 국제공항,PLQ,Lithuania,리투아니아,Palanga
시아울리에 국제공항,SQQ,Lithuania,리투아니아,Siauliai
빌니우스 국제공항,VNO,Lithuania,리투아니아,Vilnius
키갈리 국제공항 ,KGL,Rwanda,르완다,Kigali
뤽상부르 국제공항 ,LUX,Luxembourg,룩셈부르크,Luxembourg
아라드 국제공항,ARW,Romania,루마니아,Arad
바커우 국제공항,BCM,Romania,루마니아,Bacau
부쿠레슈티 아우렐 블래쿠 국제공항 ,BBU,Romania,루마니아,Bucharest
부쿠레슈티 헨리 코언다 국제공항 ,OTP,Romania,루마니아,Bucharest
콘스탄짜 미하일 코갈니쵸누 국제공항,CND,Romania,루마니아,Constanta
이아시 국제공항,IAS,Romania,루마니아,Iasi
오라데아 국제공항,OMR,Romania,루마니아,Oradea
사투마레 국제공항,SUJ,Romania,루마니아,Satu Mare
시비우 국제공항,SBZ,Romania,루마니아,Sibiu
티구루 무레슈 국제공항,TGM,Romania,루마니아,Targu Mures
티미쇼아라 트라이언 부이아 국제공항,TSR,Romania,루마니아,Timisoara
모슈슈 국제공항,MSU,Lesotho,레소토,Maseru
베이루트 국제공항 ,BEY,Lebanon,레바논,Beirut
콜트소보 국제공항 ,SVX,Russia,러시아,Ekaterinburg
이르쿠츠크 국제공항,IKT,Russia,러시아,Irkutsk
세레메티에포 국제공항,SVO,Russia,러시아,Moscow
아들라 소치 국제공항,AER,Russia,러시아,Sochi
블라디보스토크 국제공항,VVO,Russia,러시아,Vladivostok
리가 국제공항,RIX,Latvia,라트비아,Riga
테겔 국제공항,TXL,Germany,독일,Berlin
프랑크푸르트 국제공항 ,FRA,Germany,독일,Frankfurt
하노버 랭젠히겐 국제공항,HAJ,Germany,독일,Hanover
먼스토 오스나브룩 국제공항,FMO,Germany,독일,Muenster
뮌헨 국제공항,MUC,Germany,독일,Munich
라로마나 국제공항,LRM,Dominican Republic,도미니카공화국,La Romana
